"-- Please Select --","-- Por Favor Seleccione --"
"Columns","Columnas"
"Set hover colors on Submenu links from Top er. Example: #000000","Establecer los colores al pasar el ratón sobre los enlaces del Submenú en el Encabezado Superior. Ejemplo: #000000"
"Set color for Text in Top Header. Example: #FFFFFF","Establecer el color del texto en el Encabezado Superior. Ejemplo: #FFFFFF"
"Set Background color for Top Header. Example: #000000","Establecer el color de fondo del Encabezado Superior. Ejemplo: #000000"
"Border Bottom Color","Color del Borde Inferior"
"Set border bottom color for entire Top Header section. Example: #FFFFFF","Establecer el color del borde inferior para toda la sección del Encabezado Superior. Ejemplo: #FFFFFF"
"Middle Header","Encabezado Medio"
"Set width of Middle section from Header. Example: 1400px","Establecer el ancho de la sección media del Encabezado. Ejemplo: 1400px"
"Background","Fondo"
"Set background color for entire Middle section from Header. Example: #FFFFFF","Establecer el color de fondo para toda la sección media del Encabezado. Ejemplo: #FFFFFF"
"Header Navigation","Navegación del Encabezado"
"Set width of Header Navigation (Menu section). Example: 1400px","Establecer el ancho de la navegación del Encabezado (sección del Menú). Ejemplo: 1400px"
"Set background color for Header Navigation. Example: #FFFFFF","Establecer el color de fondo para la navegación del Encabezado. Ejemplo: #FFFFFF"
"Set link color on hover, from Header Navigation. Example: #CCCCCC","Establecer el color del enlace al pasar el ratón, en la navegación del Encabezado. Ejemplo: #CCCCCC"
"Navigation Shadow","Sombra de la Navegación"
"Set shadow for Header Navigation. Example: 0px 10px 30px 0px rgba(0,0,0,0.05)","Establecer la sombra para la navegación del Encabezado. Ejemplo: 0px 10px 30px 0px rgba(0,0,0,0.05)"
"Sticky Header Options","Opciones del ""Encabezado Fijo"""
"Enable Sticky Header","Habilitar Encabezado Fijo"
"Custom Logo Size when Sticky","Tamaño Personalizado del Logotipo cuando es Fijo"
"Enable Sticky Header also on mobile","Habilitar Encabezado Fijo también en móvil"
"Set Yes to enable Sticky Header also on mobile view. If set to No, Sticky Header is enabled only on desktop view.","Establecer ""Sí"" para habilitar el Encabezado Fijo también en vista móvil. Si se establece en ""No"", el Encabezado Fijo solo estará habilitado en vista de escritorio."
"Enable Sticky Header when scroll up.","Habilitar Encabezado Fijo al desplazarse hacia arriba."
"Enable sticky header only when you scroll the page up.","Habilitar el encabezado fijo solo cuando se desplace la página hacia arriba."
"Use Advanced Color Control","Usar Control Avanzado de Color"
"If "Yes" you will be able to control the background and elements color on sticky header.
                         If "No" Sticky Header will use white background color and existing header color options.
                     ","Si ""Sí"", podrás controlar el color de fondo y de los elementos en el encabezado fijo. Si ""No"", el Encabezado Fijo usará color de fondo blanco y las opciones de color existentes del encabezado."
"Search Version","Versión de Búsqueda"
"Select Search version.","Seleccionar versión de Búsqueda."
"Field Width","Ancho del Campo"
"Set width for Search field. Example: 250px","Establecer el ancho del campo de búsqueda. Ejemplo: 250px"
"Field Height","Altura del Campo"
"Set height for Search field. Example: 30px","Establecer la altura del campo de búsqueda. Ejemplo: 30px"
"Search Icon Line Height","Altura de Línea del Icono de Búsqueda"
"Set line height for Search icon. Example: 36px","Establecer la altura de línea para el icono de búsqueda. Ejemplo: 36px"
"Field Border Width","Ancho del Borde del Campo"
"Right","Derecha"
"Left","Izquierda"
"Set borders for Search field. Example: 0 0 1px 0","Establecer los bordes para el campo de búsqueda. Ejemplo: 0 0 1px 0"
"Field Border Style","Estilo del Borde del Campo"
"Set border style for Search. Example: solid","Establecer el estilo del borde para la búsqueda. Ejemplo: solid"
"Field Border Color","Color del Borde del Campo"
"Set border color for Search field. Example: #5C5C5C","Establecer el color del borde para el campo de búsqueda. Ejemplo: #5C5C5C"
"Field Background color","Color de Fondo del Campo"
"Set background color for Search field. Example: #FFFFFF","Establecer el color de fondo para el campo de búsqueda. Ejemplo: #FFFFFF"
"Font color","Color de la Fuente"
"Set text font color from Search field. Example: #5C5C5C","Establecer el color del texto en el campo de búsqueda. Ejemplo: #5C5C5C"
"Font size","Tamaño de la Fuente"
"Set font size for Search field text. Example: 12px","Establecer el tamaño de la fuente para el texto del campo de búsqueda. Ejemplo: 12px"
"Placeholder color","Color del Marcador de Posición"
"Set placeholder font color from Search field. Example: #E6E6E6","Establecer el color de la fuente del marcador de posición en el campo de búsqueda. Ejemplo: #E6E6E6"
"Header Icons","Íconos del Encabezado"
"Icon Size","Tamaño del Ícono"
"Set size of icons from Header. Example: 16px","Establecer el tamaño de los íconos del encabezado. Ejemplo: 16px"
"Icon Color","Color del Ícono"
"Set color of icons from Header. Example: #000000","Establecer el color de los íconos del encabezado. Ejemplo: #000000"
"Icon Hover Color","Color del Ícono al Pasar el Ratón"
"Set hover color of icons from Header. Example: #CCCCCC","Establecer el color al pasar el ratón sobre los íconos del encabezado. Ejemplo: #CCCCCC"
"Mobile Logo","Logotipo Móvil"
"Enable/disable mobile logo usage. To upload the mobile logo, go to Content -> Design Configuration > [your store] > WeltPixel Header - Mobile logo","Habilitar/deshabilitar el uso del logotipo móvil. Para subir el logotipo móvil, ve a ""Contenido -> Configuración de Diseño > [tu tienda] > WeltPixel Encabezado - Logotipo Móvil"""
"Submit a feature request","Enviar una solicitud de ""función"""
"PreFooter Settings","Configuración del ""PrePie de Página"""
"Footer Settings","Configuración del ""Pie de Página"""
"Make sure the static blocks are enabled and assigned to the proper store views.","Asegúrate de que los bloques estáticos estén habilitados y asignados a las vistas de tienda correctas."
"Footer Version","Versión del ""Pie de Página"""
"Set Background color for selected footer.","Establecer el color de fondo para el pie de página seleccionado."
"Set Text color for selected footer.","Establecer el color del texto para el pie de página seleccionado."
"Set Icons color for selected footer.","Establecer el color de los íconos para el pie de página seleccionado."
"Copyright Settings","Configuración de ""Derechos de Autor"""
"Display/hide the copyright section from bottom of pages. Edit the copyright content in Content -> Configuration -> Desired store view Edit -> Footer -> Copyright","Mostrar/ocultar la sección de derechos de autor en la parte inferior de las páginas. Edita el contenido de derechos de autor en ""Contenido -> Configuración -> Vista de tienda deseada -> Pie de Página -> Derechos de Autor"""
"Category Page - General Settings","Configuración General de la ""Página de Categoría"""
"Display Add To Wishlist","Mostrar ""Añadir a la Lista de Deseos"""
"Hidden","Oculto"
"Top - Left","Arriba - Izquierda"
"Top - Left On Hover","Arriba - Izquierda al Pasar el Ratón"
"Top - Right","Arriba - Derecha"
"Top - Right On Hover","Arriba - Derecha al Pasar el Ratón"
"Below Swatches On Hover","Debajo de las Muestras al Pasar el Ratón"
"Select position of Add to Wislist icon on products from category page.","Seleccionar la posición del ícono ""Añadir a la Lista de Deseos"" en los productos de la página de categoría."
"Display Add To Compare","Mostrar ""Añadir para Comparar"""
"Select position of Add to Compare icon on products from category page.","Seleccionar la posición del ícono ""Añadir para Comparar"" en los productos de la página de categoría."
"Display Swatches","Mostrar ""Muestras"""
"Select Swatches behavior. ","Seleccionar el comportamiento de las ""Muestras""."
"  Note: Make sure that Stores -> Settings -> Configuration -> Catalog -> Catalog -> Storefront -> Show Swatches in Product List is set to Yes","Nota: Asegúrate de que ""Tiendas -> Configuración -> Catálogo -> Catálogo -> Escaparate -> Mostrar Muestras en la Lista de Productos"" esté configurado en ""Sí""."
"Display Swatch Tooltip","Mostrar ""Tooltip de Muestras"""
"Select Swatches behavior when hover over them. ","Seleccionar el comportamiento de las ""Muestras"" al pasar el ratón sobre ellas."
" Display tooltip on hover over the swatches from Layered Navigation and from the products on category page.","Mostrar el ""tooltip"" al pasar el ratón sobre las muestras de la navegación por capas y de los productos en la página de categoría."
"Display Add to Cart","Mostrar ""Añadir al Carrito"""
"Select position of Add to Cart button.","Seleccionar la posición del botón ""Añadir al Carrito""."
"Products per line (Desktop view)","Productos por línea (vista de escritorio)"
"Select numbers of items to be displayed in one row on category page. This settings is applied only on desktop size.","Seleccionar el número de elementos que se mostrarán en una fila en la página de categoría. Esta configuración solo se aplica en vista de escritorio."
"Remove Breadcrumbs","Eliminar ""Migas de Pan"""
"Select Yes if you wish to remove the Breadcrumbs section.","Seleccionar ""Sí"" si deseas eliminar la sección de ""Migas de Pan""."
"Hover animation","Animación al pasar el ratón"
"Zoom Item","Zoom del elemento"
"Zoom Image","Zoom de la imagen"
"Disable Mobile Double Click","Desactivar doble clic en móviles"
"Item options","Opciones del elemento"
"Item Box Shadow","Sombra del cuadro del elemento"
"Insert shadow values for the items on category page. Example: 0px 4px 11px 0px rgba(0,0,0,0.5)","Insertar los valores de sombra para los elementos en la página de categoría. Ejemplo: 0px 4px 11px 0px rgba(0,0,0,0.5)"
